#Frame      Dis_00001
       1      53.0392
       2      53.2279
       3      53.2641
       4      52.5734
       5      52.4344
       6      52.5173
       7      52.2167
       8      52.6739
       9      52.8237
      10      52.2363
      11      53.2173
      12      51.9744
      13      51.9375
      14      52.3560
      15      52.4990
      16      52.4889
      17      52.1249
      18      51.8069
      19      52.6563
      20      52.4109
      21      52.1440
      22      52.2436
      23      52.2492
      24      51.4932
      25      51.2074
      26      51.5724
      27      52.0541
      28      52.0121
      29      51.3211
      30      52.4874
      31      51.9762
      32      51.6491
      33      51.7196
      34      52.0043
      35      52.2371
      36      51.7040
      37      51.6665
      38      51.2083
      39      51.9346
      40      51.5724
      41      50.6446
      42      50.4961
      43      49.6332
      44      49.5101
      45      50.0885
      46      51.5538
      47      51.4734
      48      51.6754
      49      51.8788
      50      51.9655
      51      51.8084
      52      52.1970
      53      52.3862
      54      52.5994
      55      52.5225
      56      52.2533
      57      52.0050
      58      51.9019
      59      51.2174
      60      52.3868
      61      51.9906
      62      51.8824
      63      50.6079
      64      51.4317
      65      51.5747
      66      51.6390
      67      51.6120
      68      50.4547
      69      50.5661
      70      50.5302
      71      50.8751
      72      51.3788
      73      51.8665
      74      51.4506
      75      51.2693
      76      51.5264
      77      51.6691
      78      52.3702
      79      51.4356
      80      51.6557
      81      51.6299
      82      51.0882
      83      52.0571
      84      50.9334
      85      52.6953
      86      52.0707
      87      52.7626
      88      53.0042
      89      53.4316
      90      52.5595
      91      51.9782
      92      52.3498
      93      52.4521
      94      51.9052
      95      51.9231
      96      51.9077
      97      52.2489
      98      52.1936
      99      52.5669
     100      52.9857
